time_utc,activity,target_id,station_id,duration_sec,power_W,battery_SOC,data_MB
2026-02-14T04:39:36.793042+00:00,OBSERVE,target_london,-,500.0,5.0,0.965,50.0
2026-02-14T06:04:32.799343+00:00,DOWNLINK,-,gs_wallops,570.0,8.0,0.937,-142.5
2026-02-14T06:19:26.793042+00:00,OBSERVE,target_london,-,500.0,5.0,0.965,50.0
2026-02-14T06:27:47.793042+00:00,OBSERVE,target_moscow,-,193.3,5.0,0.987,50.0
2026-02-14T06:31:02.094414+00:00,OBSERVE,target_cairo,-,237.3,5.0,0.97,50.0
2026-02-14T07:43:52.799343+00:00,DOWNLINK,-,gs_wallops,590.0,8.0,0.905,-147.5
2026-02-14T07:59:06.793042+00:00,OBSERVE,target_london,-,480.0,5.0,0.967,50.0
2026-02-14T08:07:49.373938+00:00,OBSERVE,target_cairo,-,480.0,5.0,0.967,50.0
2026-02-14T09:25:42.799343+00:00,DOWNLINK,-,gs_wallops,430.0,8.0,0.919,-107.5
2026-02-14T09:40:16.793042+00:00,OBSERVE,target_london,-,200.0,5.0,0.986,50.0
2026-02-14T10:26:57.649994+00:00,OBSERVE,target_sydney,-,430.0,5.0,0.97,50.0
2026-02-14T11:07:22.799343+00:00,DOWNLINK,-,gs_wallops,380.0,8.0,0.958,-95.0
2026-02-14T12:06:17.649994+00:00,OBSERVE,target_sydney,-,450.0,5.0,0.969,50.0
2026-02-14T12:46:52.799343+00:00,DOWNLINK,-,gs_wallops,540.0,8.0,0.94,-135.0
2026-02-14T14:26:12.799343+00:00,DOWNLINK,-,gs_wallops,600.0,8.0,0.933,-150.0
2026-02-14T14:47:01.940153+00:00,OBSERVE,target_saopaulo,-,290.0,5.0,0.98,50.0
2026-02-14T15:38:48.508606+00:00,OBSERVE,target_tokyo,-,450.0,5.0,0.969,50.0
2026-02-14T16:08:22.799343+00:00,DOWNLINK,-,gs_wallops,200.0,8.0,0.978,-50.0
2026-02-14T16:24:51.940153+00:00,OBSERVE,target_saopaulo,-,470.0,5.0,0.967,50.0
2026-02-14T17:15:50.232128+00:00,OBSERVE,target_beijing,-,400.0,5.0,0.972,50.0
2026-02-14T17:22:31.232128+00:00,OBSERVE,target_tokyo,-,197.3,5.0,0.986,50.0
2026-02-14T18:01:24.485010+00:00,DOWNLINK,-,gs_santiago,610.0,8.0,0.919,-152.5
2026-02-14T18:54:30.232128+00:00,OBSERVE,target_beijing,-,490.0,5.0,0.966,50.0
2026-02-14T19:42:24.485010+00:00,DOWNLINK,-,gs_santiago,490.0,8.0,0.946,-122.5
2026-02-14T20:36:20.232128+00:00,OBSERVE,target_beijing,-,320.0,5.0,0.978,50.0
2026-02-14T21:59:29.373938+00:00,OBSERVE,target_cairo,-,320.0,5.0,0.978,50.0
2026-02-14T22:17:40.232128+00:00,OBSERVE,target_beijing,-,270.0,5.0,0.981,50.0
2026-02-14T22:22:28.508606+00:00,OBSERVE,target_tokyo,-,340.0,5.0,0.976,50.0
2026-02-14T23:08:54.485010+00:00,DOWNLINK,-,gs_santiago,50.0,8.0,0.971,-12.5
2026-02-14T23:37:29.373938+00:00,OBSERVE,target_cairo,-,470.0,5.0,0.967,50.0
2026-02-14T23:45:20.373938+00:00,OBSERVE,target_moscow,-,260.7,5.0,0.982,50.0
2026-02-14T23:56:50.232128+00:00,OBSERVE,target_beijing,-,440.0,5.0,0.951,50.0
2026-02-15T00:04:11.232128+00:00,OBSERVE,target_tokyo,-,317.3,5.0,0.977,50.0
2026-02-15T00:46:04.485010+00:00,DOWNLINK,-,gs_santiago,510.0,8.0,0.921,-127.5
2026-02-15T00:54:35.485010+00:00,OBSERVE,target_saopaulo,-,356.5,5.0,0.975,50.0
2026-02-15T01:18:56.793042+00:00,OBSERVE,target_london,-,150.0,5.0,0.965,50.0
2026-02-15T01:22:01.094414+00:00,OBSERVE,target_moscow,-,470.0,5.0,0.967,50.0
2026-02-15T02:25:14.485010+00:00,DOWNLINK,-,gs_santiago,600.0,8.0,0.901,-150.0
2026-02-15T02:35:15.485010+00:00,OBSERVE,target_saopaulo,-,146.5,5.0,0.99,50.0
2026-02-15T02:55:06.793042+00:00,OBSERVE,target_london,-,470.0,5.0,0.967,50.0
2026-02-15T03:02:57.793042+00:00,OBSERVE,target_moscow,-,383.3,5.0,0.973,50.0
2026-02-15T04:08:44.485010+00:00,DOWNLINK,-,gs_santiago,50.0,8.0,0.968,-12.5
2026-02-15T05:59:22.799343+00:00,DOWNLINK,-,gs_wallops,560.0,8.0,0.938,-140.0
2026-02-15T06:14:06.793042+00:00,OBSERVE,target_london,-,500.0,5.0,0.965,50.0
2026-02-15T06:22:27.793042+00:00,OBSERVE,target_moscow,-,193.3,5.0,0.987,50.0
2026-02-15T06:25:42.094414+00:00,OBSERVE,target_cairo,-,237.3,5.0,0.97,50.0
2026-02-15T07:38:32.799343+00:00,DOWNLINK,-,gs_wallops,590.0,8.0,0.905,-147.5
2026-02-15T07:53:46.793042+00:00,OBSERVE,target_london,-,480.0,5.0,0.967,50.0
2026-02-15T08:02:29.373938+00:00,OBSERVE,target_cairo,-,480.0,5.0,0.967,50.0
2026-02-15T09:20:22.799343+00:00,DOWNLINK,-,gs_wallops,440.0,8.0,0.918,-110.0
2026-02-15T09:34:46.793042+00:00,OBSERVE,target_london,-,220.0,5.0,0.985,50.0
2026-02-15T10:21:37.649994+00:00,OBSERVE,target_sydney,-,430.0,5.0,0.97,50.0
2026-02-15T11:02:02.799343+00:00,DOWNLINK,-,gs_wallops,380.0,8.0,0.958,-95.0
2026-02-15T12:00:57.649994+00:00,OBSERVE,target_sydney,-,460.0,5.0,0.968,50.0
2026-02-15T12:41:32.799343+00:00,DOWNLINK,-,gs_wallops,540.0,8.0,0.94,-135.0
2026-02-15T14:20:52.799343+00:00,DOWNLINK,-,gs_wallops,610.0,8.0,0.932,-152.5
2026-02-15T14:41:51.940153+00:00,OBSERVE,target_saopaulo,-,270.0,5.0,0.981,50.0
2026-02-15T15:33:28.508606+00:00,OBSERVE,target_tokyo,-,450.0,5.0,0.969,50.0
2026-02-15T16:02:52.799343+00:00,DOWNLINK,-,gs_wallops,230.0,8.0,0.974,-57.5
2026-02-15T16:19:31.940153+00:00,OBSERVE,target_saopaulo,-,470.0,5.0,0.967,50.0
2026-02-15T17:10:30.232128+00:00,OBSERVE,target_beijing,-,400.0,5.0,0.972,50.0
2026-02-15T17:17:11.232128+00:00,OBSERVE,target_tokyo,-,197.3,5.0,0.986,50.0
2026-02-15T17:56:04.485010+00:00,DOWNLINK,-,gs_santiago,610.0,8.0,0.919,-152.5
2026-02-15T18:49:10.232128+00:00,OBSERVE,target_beijing,-,490.0,5.0,0.966,50.0
2026-02-15T19:36:54.485010+00:00,DOWNLINK,-,gs_santiago,500.0,8.0,0.944,-125.0
2026-02-15T20:30:50.232128+00:00,OBSERVE,target_beijing,-,330.0,5.0,0.977,50.0
2026-02-15T21:54:19.373938+00:00,OBSERVE,target_cairo,-,310.0,5.0,0.978,50.0
2026-02-15T22:12:20.232128+00:00,OBSERVE,target_beijing,-,270.0,5.0,0.981,50.0
2026-02-15T22:17:18.508606+00:00,OBSERVE,target_tokyo,-,330.0,5.0,0.977,50.0
2026-02-15T23:32:09.373938+00:00,OBSERVE,target_cairo,-,480.0,5.0,0.944,50.0
2026-02-15T23:40:10.373938+00:00,OBSERVE,target_moscow,-,250.7,5.0,0.983,50.0
2026-02-15T23:51:40.232128+00:00,OBSERVE,target_beijing,-,430.0,5.0,0.953,50.0
2026-02-15T23:58:51.232128+00:00,OBSERVE,target_tokyo,-,317.3,5.0,0.978,50.0
2026-02-16T00:40:54.485010+00:00,DOWNLINK,-,gs_santiago,500.0,8.0,0.922,-125.0
2026-02-16T00:49:15.485010+00:00,OBSERVE,target_saopaulo,-,356.5,5.0,0.975,50.0
2026-02-16T01:13:56.793042+00:00,OBSERVE,target_london,-,130.0,5.0,0.966,50.0
2026-02-16T01:16:51.094414+00:00,OBSERVE,target_moscow,-,460.0,5.0,0.968,50.0
2026-02-16T02:19:54.485010+00:00,DOWNLINK,-,gs_santiago,610.0,8.0,0.9,-152.5
2026-02-16T02:30:05.485010+00:00,OBSERVE,target_saopaulo,-,146.5,5.0,0.99,50.0
2026-02-16T02:49:46.793042+00:00,OBSERVE,target_london,-,470.0,5.0,0.967,50.0
2026-02-16T02:57:37.793042+00:00,OBSERVE,target_moscow,-,383.3,5.0,0.973,50.0
2026-02-16T04:02:54.485010+00:00,DOWNLINK,-,gs_santiago,110.0,8.0,0.961,-27.5
2026-02-16T04:29:06.793042+00:00,OBSERVE,target_london,-,490.0,5.0,0.966,50.0
2026-02-16T05:54:02.799343+00:00,DOWNLINK,-,gs_wallops,560.0,8.0,0.938,-140.0
2026-02-16T06:08:46.793042+00:00,OBSERVE,target_london,-,500.0,5.0,0.965,50.0
2026-02-16T06:17:07.793042+00:00,OBSERVE,target_moscow,-,203.3,5.0,0.986,50.0
2026-02-16T07:33:12.799343+00:00,DOWNLINK,-,gs_wallops,590.0,8.0,0.92,-147.5
2026-02-16T07:48:26.793042+00:00,OBSERVE,target_london,-,480.0,5.0,0.967,50.0
2026-02-16T07:57:09.373938+00:00,OBSERVE,target_cairo,-,490.0,5.0,0.966,50.0
